Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
1,"1011,9","1008,6","1007,0","1009,2","3,8","-3,8","7,6","-8,0","-3,4","3,3","-0,9","-0,5",87,55,72,71,,,
2,"1004,3","1002,2","1001,8","1002,8","8,2","-4,2","12,4","-9,0","-3,9","7,5","3,8","2,8",74,32,45,50,,,
3,"1005,5","1007,5","1007,8","1006,9","5,9","-1,0","6,9","-0,6","-0,6","0,9","-1,0","-0,4",93,84,92,90,,,
4,"1000,1","993,9","993,6","995,9","2,4","-4,7","7,1","-12,0","-3,6","0,8","0,2","-0,6",90,77,88,85,,,
5,"993,6","995,3","998,4","995,8","1,3","-1,2","2,5","-1,5","0,2","0,7","-1,2","-0,4",91,79,74,81,,,
6,"1005,2","1008,0","1011,1","1008,1","-1,2","-9,3","8,1","-7,1","-6,9","-7,1","-9,3","-8,2",63,53,56,57,,,
7,"1012,0","1012,2","1012,3","1012,2","-8,9","-12,2","3,3","-13,5","-12,0","-9,8","-12,1","-11,5",51,46,63,53,,,
8,"1009,7","1008,6","1007,4","1008,6","-7,1","-14,6","7,5","-16,1","-14,6","-8,0","-10,0","-10,7",64,47,79,63,,,
9,"1005,3","1005,6","1008,4","1006,4","-7,0","-10,2","3,2","-12,6","-9,8","-7,3","-8,9","-8,7",85,83,84,84,,,
10,"1006,7","1003,8","1003,8","1004,8","-7,9","-13,1","5,2","-18,4","-12,0","-8,6","-8,7","-9,5",79,81,87,82,,,
11,"1005,2","1005,5","1004,0","1004,9","-7,1","-10,4","3,3","-9,2","-9,5","-7,4","-10,0","-9,2",88,83,85,85,,,
12,"998,6","1002,8","1002,1","1001,2","1,4","-11,0","12,4","-9,6","-8,6","0,5","-0,6","-2,3",82,52,82,72,,,
13,"991,8","985,4","978,5","985,2","6,8","-2,2","9,0","-9,4","3,0","5,8","6,8","5,6",66,62,54,61,,,
14,"989,1","992,9","995,8","992,6","7,1","-0,2","7,3","0,4","0,8","2,2","-0,2","0,7",91,81,82,85,,,
15,"1000,8","1003,3","1004,9","1003,0","4,5","-2,3","6,8","-5,7","-2,2","3,6","-1,2","-0,3",86,60,85,77,,,
16,"1002,2","1000,7","1001,3","1001,4","1,6","-4,1","5,7","-7,7","-2,8","1,3","0,7","0,0",89,59,85,78,,,
17,"1003,4","1006,4","1010,0","1006,6","1,3","-0,1","1,4","0,2","1,0","0,1","-0,1","0,2",75,84,89,83,,,
18,"1012,5","1013,7","1016,1","1014,1","0,8","-1,6","2,4","-1,0","-0,3","-0,6","-0,3","-0,4",75,93,56,75,,,
19,"1017,3","1019,0","1021,0","1019,1","-0,3","-2,1","1,8","-2,6","-2,0","-0,9","-1,6","-1,5",64,51,65,60,,,
20,"1021,4","1020,6","1020,5","1020,8","-0,2","-6,5","6,3","-11,8","-5,7","-0,6","-4,8","-4,0",83,54,85,74,,,
21,"1019,3","1018,2","1018,6","1018,7","-2,0","-10,4","8,4","-15,5","-10,2","-2,5","-4,4","-5,4",88,69,83,80,,,
22,"1019,2","1018,0","1016,8","1018,0","-2,0","-6,7","4,7","-10,7","-6,0","-3,2","-4,3","-4,5",90,83,85,86,,,
23,"1014,7","1011,3","1010,0","1012,0","-3,9","-9,3","5,4","-11,8","-8,9","-4,2","-6,9","-6,7",92,83,91,89,,,
24,"1007,8","1008,3","1010,7","1008,9","-5,3","-7,3","2,0","-6,6","-7,1","-5,6","-5,4","-5,9",91,92,90,91,,,
25,"1012,8","1013,2","1014,6","1013,5","-2,9","-5,4","2,5","-5,1","-4,8","-3,1","-3,2","-3,6",93,91,93,92,,,
26,"1015,6","1016,7","1018,9","1017,1","-1,4","-3,8","2,4","-5,4","-3,7","-1,6","-2,4","-2,5",92,80,82,85,,,
27,"1017,4","1014,9","1013,8","1015,4","1,0","-5,6","6,6","-12,0","-4,9","0,6","-4,7","-3,4",84,62,91,79,,,
28,"1012,7","1011,3","1011,4","1011,8","-2,5","-6,7","4,2","-11,0","-6,5","-3,4","-5,3","-5,1",94,81,91,89,,,
29,"1012,3","1012,1","1013,2","1012,5","-4,8","-7,9","3,1","-10,2","-7,7","-5,3","-6,0","-6,3",93,84,92,90,,,
30,"1012,4","1009,6","1009,2","1010,4","3,0","-7,1","10,1","-10,4","-6,4","3,0","-2,2","-2,0",89,54,81,75,,,
31,"1008,0","1007,5","1007,3","1007,6","5,8","-2,6","8,4","-4,2","-1,9","5,6","1,2","1,5",81,55,73,70,,,
dek1,"1005,4","1004,6","1005,2","1005,1","-1,0","-7,4","6,4","-9,9","-6,7","-2,8","-4,8","-4,8",78,64,74,72,,,
dek2,"1004,2","1005,0","1005,4","1004,9","1,6","-4,0","5,6","-5,6","-2,6","0,4","-1,1","-1,1",80,68,77,75,,,
dek3,"1013,8","1012,8","1013,1","1013,3","-1,4","-6,6","5,3","-9,4","-6,2","-1,8","-4,0","-4,0",90,76,87,84,,,
mes,"1008,0","1007,6","1008,1","1007,9","-0,3","-6,1","5,7","-8,3","-5,2","-1,4","-3,3","-3,3",83,69,79,77,,,
1,"4,1","4,2","4,1","4,1",WSW,"0,8",NNE,"0,8",SE,"2,4","1,4",-,0,0,0,"0,0",.,.,.
2,"3,4","3,3","3,6","3,4",E,"0,8",WNW,"0,8",SW,"0,8","0,8",-,0,1,10,"3,7",.,.,.
3,"5,4","5,5","5,2","5,4",NNW,"2,4",WNW,"2,4",W,"0,8","1,9",-,10,10,0,"6,7","2,8",4,4
4,"4,2","5,0","5,4","4,9",WSW,"2,4",W,"0,8",ENE,"2,4","1,9",-,0,6,10,"5,3","0,8",6,2
5,"5,6","5,1","4,1","4,9",WSW,"2,4",NNW,"2,4",N,"4,4","3,0",-,9,10,6,"8,3","1,6",4,1
6,"2,3","1,9","1,7","2,0",N,"4,4",N,"6,7",NNW,"4,4","5,1",-,9,10,0,"6,3","0,0",3,0
7,"1,2","1,3","1,5","1,3",NNW,"4,4",NNW,"4,4",W,"2,4","3,7",-,0,4,0,"1,3",.,3,.
8,"1,3","1,6","2,3","1,7",WSW,"2,4",W,"2,4",W,"4,4","3,0",-,1,4,0,"1,7",.,3,.
9,"2,5","2,9","2,6","2,7",W,"4,4",NW,"2,4",SSE,"2,4","3,0",-,10,10,6,"8,7","0,8",5,2
10,"1,9","2,6","2,7","2,4",ESE,"0,8",NNE,"2,4",NE,"4,4","2,5",-,0,10,10,"6,7","2,8",15,10
11,"2,6","2,9","2,4","2,6",W,"2,4",WSW,"4,4",SSE,"2,4","3,0",-,10,10,0,"6,7","5,0",20,7
12,"2,6","3,3","4,8","3,6",C,"0,0",W,"2,4",NNW,"0,8","1,1",-,9,9,0,"6,0","1,8",18,1
13,"5,0","5,8","5,4","5,4",SE,"4,4",SSE,"6,7",SSE,"9,4","6,8",-,7,10,10,"9,0",.,17,.
14,"5,9","5,8","4,9","5,5",WNW,"4,4",W,"2,4",W,"0,8","2,5",-,10,10,4,"8,0","4,2",9,3
