Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
1,"999,2","997,4","992,8","996,5","12,6","1,8","10,8","-2,5","1,8","11,7","9,7","8,2",88,59,65,71,,,,
2,"988,3","991,6","996,6","992,2","9,9","4,6","5,3","5,6","7,9","5,0","5,4","5,9",87,94,92,91,,,,
3,"999,0","991,2","990,5","993,6","9,7","2,0","7,7","0,0","2,0","8,3","7,6","6,4",94,60,68,74,,,,
4,"992,0","992,7","992,2","992,3","10,6","5,1","5,5","4,0","5,2","10,2","6,9","7,3",89,66,78,78,,,,
5,"991,8","994,5","996,6","994,3","15,8","5,8","10,0","2,3","8,7","15,1","11,4","11,7",59,59,68,62,,,,
6,"998,3","998,8","1000,4","999,2","17,3","8,3","9,0","3,0","8,8","16,6","12,4","12,6",75,56,64,65,,,,
7,"1003,9","1006,8","1009,3","1006,7","17,8","10,3","7,5","3,7","11,2","16,7","10,8","12,4",67,59,77,68,,,,
8,"1011,0","1010,0","1011,0","1010,7","16,0","7,3","8,7","1,7","8,2","15,8","10,5","11,3",82,56,74,71,,,,
9,"1011,8","1010,9","1007,8","1010,2","10,8","6,8","4,0","4,1","8,6","8,4","6,9","7,7",71,72,72,72,,,,
10,"1002,5","999,2","998,6","1000,1","7,3","4,3","3,0","4,1","4,3","6,8","4,9","5,2",78,72,82,77,,,,
11,"997,2","997,3","1000,5","998,3","9,1","3,5","5,6","2,0","4,6","8,5","5,2","5,9",83,70,90,81,,,,
12,"1003,8","1005,2","1007,5","1005,5","7,3","4,9","2,4","4,3","4,9","6,7","5,8","5,8",95,83,78,85,,,,
13,"1008,1","1008,5","1010,4","1009,0","5,8","1,5","4,3","3,0","3,6","3,8","1,5","2,6",71,67,74,71,,,,
14,"1010,5","1010,5","1012,2","1011,1","1,6","-2,8","4,4","-1,3","-1,3","0,2","-2,7","-1,6",71,68,96,78,,,,
15,"1011,4","1009,7","1008,0","1009,7","-1,1","-4,0","2,9","-3,1","-2,8","-1,6","-3,8","-3,0",83,75,91,83,,,,
16,"998,6","991,9","988,7","993,1","9,2","-4,5","13,7","-5,4","-3,3","4,2","9,2","4,8",86,77,64,76,,,,
17,"981,5","978,8","987,4","982,6","12,0","3,3","8,7","3,6","11,0","4,1","4,1","5,8",64,96,79,80,,,,
18,"995,5","998,9","994,8","996,4","7,9","0,9","7,0","-0,4","1,8","6,9","3,8","4,1",76,55,59,63,,,,
19,"994,3","993,1","997,2","994,9","12,0","3,1","8,9","-2,0","3,8","11,6","4,5","6,1",62,50,93,68,,,,
20,"998,8","998,2","996,4","997,8","4,8","1,5","3,3","2,0","2,0","4,3","1,8","2,5",94,79,88,87,,,,
21,"989,2","988,5","994,0","990,6","4,0","0,8","3,2","-2,0","2,0","2,8","1,8","2,1",77,94,85,85,,,,
22,"998,8","1000,3","1001,6","1000,2","3,2","-0,1","3,3","0,8","0,8","2,4","-0,1","0,8",82,75,89,82,,,,
23,"1003,1","1008,5","1014,2","1008,6","2,8","-0,7","3,5","-4,1","0,0","2,3","2,0","1,6",87,81,83,84,,,,
24,"1017,2","1017,3","1017,0","1017,2","6,1","1,0","5,1","-0,4","1,4","5,8","1,0","2,3",82,57,70,70,,,,
25,"1012,9","1009,3","1008,3","1010,2","8,1","-1,3","9,4","-2,6","-1,3","7,6","2,5","2,8",79,53,68,67,,,,
26,"1007,5","1006,6","1009,6","1007,9","10,3","-0,1","10,4","-1,2","-0,1","10,0","2,9","3,9",70,52,67,63,,,,
27,"1012,0","1014,0","1016,9","1014,3","8,8","0,8","8,0","-0,4","0,9","8,8","3,6","4,2",73,59,84,72,,,,
28,"1019,4","1019,3","1018,0","1018,9","3,6","-0,7","4,3","-3,0","-0,4","2,5","1,4","1,2",97,94,97,96,,,,
29,"1016,2","1013,3","1009,6","1013,0","13,0","-1,1","14,1","-1,6","-0,4","11,2","9,4","7,4",96,59,63,73,,,,
30,"1008,3","1011,0","1012,2","1010,5","14,2","4,5","9,7","-0,9","4,7","13,6","7,0","8,1",78,56,82,72,,,,
31,"1009,4","1004,0","1002,0","1005,1","14,2","3,3","10,9","-1,3","5,0","13,6","7,0","8,2",75,48,75,66,,,,
dek1,"999,8","999,3","999,6","999,6","12,8","5,6","7,2","2,6","6,7","11,5","8,7","8,9",79,65,74,73,,,,
dek2,"1000,0","999,2","1000,3","999,8","6,9","0,7","6,1","0,3","2,4","4,9","2,9","3,3",79,72,81,77,,,,
