Column1,ValueCO
01.04.2021 0:00,5
02.04.2021 0:00,3
03.04.2021 0:00,4
04.04.2021 0:00,4
05.04.2021 0:00,4
06.04.2021 0:00,4
07.04.2021 0:00,4
08.04.2021 0:00,5
09.04.2021 0:00,4
10.04.2021 0:00,4
11.04.2021 0:00,4
12.04.2021 0:00,4
13.04.2021 0:00,4
14.04.2021 0:00,4
15.04.2021 0:00,4
16.04.2021 0:00,5
17.04.2021 0:00,6
18.04.2021 0:00,8
19.04.2021 0:00,6
20.04.2021 0:00,5
21.04.2021 0:00,5
22.04.2021 0:00,4
23.04.2021 0:00,5
24.04.2021 0:00,nan
01.03.2021 0:00,7
02.03.2021 0:00,7
03.03.2021 0:00,7
04.03.2021 0:00,5
05.03.2021 0:00,3
06.03.2021 0:00,7
07.03.2021 0:00,6
08.03.2021 0:00,3
09.03.2021 0:00,4
10.03.2021 0:00,5
11.03.2021 0:00,5
12.03.2021 0:00,4
13.03.2021 0:00,3
14.03.2021 0:00,4
15.03.2021 0:00,3
16.03.2021 0:00,3
17.03.2021 0:00,4
18.03.2021 0:00,4
19.03.2021 0:00,5
20.03.2021 0:00,5
21.03.2021 0:00,4
22.03.2021 0:00,4
23.03.2021 0:00,4
24.03.2021 0:00,6
25.03.2021 0:00,7
26.03.2021 0:00,6
27.03.2021 0:00,4
28.03.2021 0:00,5
29.03.2021 0:00,5
30.03.2021 0:00,6
31.03.2021 0:00,5
01.02.2021 0:00,7
02.02.2021 0:00,10
03.02.2021 0:00,5
04.02.2021 0:00,8
05.02.2021 0:00,10
06.02.2021 0:00,5
07.02.2021 0:00,4
08.02.2021 0:00,4
09.02.2021 0:00,5
10.02.2021 0:00,4
11.02.2021 0:00,4
12.02.2021 0:00,4
13.02.2021 0:00,5
14.02.2021 0:00,4
15.02.2021 0:00,6
16.02.2021 0:00,6
17.02.2021 0:00,6
18.02.2021 0:00,7
19.02.2021 0:00,7
20.02.2021 0:00,5
21.02.2021 0:00,7
22.02.2021 0:00,8
23.02.2021 0:00,8
24.02.2021 0:00,10
25.02.2021 0:00,9
26.02.2021 0:00,6
27.02.2021 0:00,4
28.02.2021 0:00,6
04.01.2021 0:00,4
05.01.2021 0:00,4
06.01.2021 0:00,3
07.01.2021 0:00,3
08.01.2021 0:00,4
09.01.2021 0:00,4
10.01.2021 0:00,5
11.01.2021 0:00,5
12.01.2021 0:00,6
13.01.2021 0:00,3
14.01.2021 0:00,3
15.01.2021 0:00,4
16.01.2021 0:00,4
