Column1,ValueNO2
01.04.2021 0:00,14
02.04.2021 0:00,6
03.04.2021 0:00,5
04.04.2021 0:00,3
05.04.2021 0:00,9
06.04.2021 0:00,6
07.04.2021 0:00,7
08.04.2021 0:00,9
09.04.2021 0:00,12
10.04.2021 0:00,9
11.04.2021 0:00,15
12.04.2021 0:00,7
13.04.2021 0:00,6
14.04.2021 0:00,7
15.04.2021 0:00,10
16.04.2021 0:00,12
17.04.2021 0:00,7
18.04.2021 0:00,11
19.04.2021 0:00,10
20.04.2021 0:00,10
21.04.2021 0:00,13
22.04.2021 0:00,12
23.04.2021 0:00,14
24.04.2021 0:00,nan
01.03.2021 0:00,17
02.03.2021 0:00,25
03.03.2021 0:00,23
04.03.2021 0:00,14
05.03.2021 0:00,6
06.03.2021 0:00,16
07.03.2021 0:00,17
08.03.2021 0:00,9
09.03.2021 0:00,11
10.03.2021 0:00,10
11.03.2021 0:00,18
12.03.2021 0:00,8
13.03.2021 0:00,8
14.03.2021 0:00,9
15.03.2021 0:00,6
16.03.2021 0:00,6
17.03.2021 0:00,8
18.03.2021 0:00,8
19.03.2021 0:00,8
20.03.2021 0:00,8
21.03.2021 0:00,11
22.03.2021 0:00,9
23.03.2021 0:00,11
24.03.2021 0:00,15
25.03.2021 0:00,19
26.03.2021 0:00,18
27.03.2021 0:00,10
28.03.2021 0:00,16
29.03.2021 0:00,16
30.03.2021 0:00,18
31.03.2021 0:00,17
01.02.2021 0:00,18
02.02.2021 0:00,24
03.02.2021 0:00,14
04.02.2021 0:00,22
05.02.2021 0:00,26
06.02.2021 0:00,14
07.02.2021 0:00,8
08.02.2021 0:00,11
09.02.2021 0:00,15
10.02.2021 0:00,8
11.02.2021 0:00,10
12.02.2021 0:00,11
13.02.2021 0:00,10
14.02.2021 0:00,8
15.02.2021 0:00,12
16.02.2021 0:00,18
17.02.2021 0:00,15
18.02.2021 0:00,19
19.02.2021 0:00,16
20.02.2021 0:00,11
21.02.2021 0:00,22
22.02.2021 0:00,19
23.02.2021 0:00,21
24.02.2021 0:00,26
25.02.2021 0:00,24
26.02.2021 0:00,14
27.02.2021 0:00,10
28.02.2021 0:00,15
04.01.2021 0:00,11
05.01.2021 0:00,16
06.01.2021 0:00,7
07.01.2021 0:00,10
08.01.2021 0:00,11
09.01.2021 0:00,7
10.01.2021 0:00,12
11.01.2021 0:00,11
12.01.2021 0:00,10
13.01.2021 0:00,10
14.01.2021 0:00,9
15.01.2021 0:00,12
16.01.2021 0:00,13
17.01.2021 0:00,10
18.01.2021 0:00,17
19.01.2021 0:00,11
20.01.2021 0:00,14
21.01.2021 0:00,6
22.01.2021 0:00,3
23.01.2021 0:00,2
24.01.2021 0:00,7
25.01.2021 0:00,10
26.01.2021 0:00,10
27.01.2021 0:00,10
28.01.2021 0:00,12
29.01.2021 0:00,8
30.01.2021 0:00,8
31.01.2021 0:00,9
01.10.2020 0:00,5
02.10.2020 0:00,2
03.10.2020 0:00,6
04.10.2020 0:00,11
05.10.2020 0:00,12
06.10.2020 0:00,11
07.10.2020 0:00,7
08.10.2020 0:00,11
09.10.2020 0:00,15
10.10.2020 0:00,13
11.10.2020 0:00,7
12.10.2020 0:00,4
13.10.2020 0:00,12
14.10.2020 0:00,10
15.10.2020 0:00,9
16.10.2020 0:00,8
17.10.2020 0:00,12
18.10.2020 0:00,17
19.10.2020 0:00,17
20.10.2020 0:00,15
21.10.2020 0:00,20
22.10.2020 0:00,30
23.10.2020 0:00,19
24.10.2020 0:00,11
25.10.2020 0:00,14
26.10.2020 0:00,16
27.10.2020 0:00,10
28.10.2020 0:00,13
29.10.2020 0:00,14
30.10.2020 0:00,11
31.10.2020 0:00,13
01.11.2020 0:00,22
02.11.2020 0:00,17
03.11.2020 0:00,10
04.11.2020 0:00,11
05.11.2020 0:00,15
06.11.2020 0:00,15
07.11.2020 0:00,13
08.11.2020 0:00,10
09.11.2020 0:00,12
10.11.2020 0:00,9
11.11.2020 0:00,13
12.11.2020 0:00,13
13.11.2020 0:00,12
14.11.2020 0:00,13
15.11.2020 0:00,21
16.11.2020 0:00,9
17.11.2020 0:00,12
18.11.2020 0:00,10
19.11.2020 0:00,11
20.11.2020 0:00,9
21.11.2020 0:00,9
22.11.2020 0:00,16
23.11.2020 0:00,14
24.11.2020 0:00,13
25.11.2020 0:00,14
26.11.2020 0:00,21
27.11.2020 0:00,22
28.11.2020 0:00,12
29.11.2020 0:00,13
30.11.2020 0:00,13
01.12.2020 0:00,11
02.12.2020 0:00,7
03.12.2020 0:00,6
04.12.2020 0:00,5
05.12.2020 0:00,4
06.12.2020 0:00,5
07.12.2020 0:00,7
08.12.2020 0:00,6
09.12.2020 0:00,13
10.12.2020 0:00,11
11.12.2020 0:00,9
12.12.2020 0:00,9
13.12.2020 0:00,14
14.12.2020 0:00,9
15.12.2020 0:00,12
16.12.2020 0:00,18
17.12.2020 0:00,14
18.12.2020 0:00,13
19.12.2020 0:00,10
20.12.2020 0:00,9
21.12.2020 0:00,15
22.12.2020 0:00,25
23.12.2020 0:00,19
24.12.2020 0:00,16
25.12.2020 0:00,10
26.12.2020 0:00,6
27.12.2020 0:00,4
28.12.2020 0:00,8
29.12.2020 0:00,15
30.12.2020 0:00,11
31.12.2020 0:00,12
01.01.2021 0:00,5
02.01.2021 0:00,7
03.01.2021 0:00,8
01.07.2020 0:00,6
02.07.2020 0:00,5
03.07.2020 0:00,6
04.07.2020 0:00,6
05.07.2020 0:00,7
06.07.2020 0:00,7
07.07.2020 0:00,6
08.07.2020 0:00,10
09.07.2020 0:00,6
10.07.2020 0:00,3
11.07.2020 0:00,4
12.07.2020 0:00,6
13.07.2020 0:00,7
14.07.2020 0:00,8
15.07.2020 0:00,8
16.07.2020 0:00,7
17.07.2020 0:00,3
18.07.2020 0:00,3
19.07.2020 0:00,6
20.07.2020 0:00,8
21.07.2020 0:00,6
22.07.2020 0:00,9
23.07.2020 0:00,4
24.07.2020 0:00,3
25.07.2020 0:00,2
26.07.2020 0:00,7
27.07.2020 0:00,6
28.07.2020 0:00,10
29.07.2020 0:00,11
30.07.2020 0:00,9
31.07.2020 0:00,6
01.08.2020 0:00,6
02.08.2020 0:00,4
03.08.2020 0:00,3
04.08.2020 0:00,5
05.08.2020 0:00,6
06.08.2020 0:00,10
07.08.2020 0:00,6
08.08.2020 0:00,3
09.08.2020 0:00,7
10.08.2020 0:00,7
11.08.2020 0:00,10
12.08.2020 0:00,6
13.08.2020 0:00,9
14.08.2020 0:00,3
15.08.2020 0:00,2
16.08.2020 0:00,3
17.08.2020 0:00,5
18.08.2020 0:00,5
19.08.2020 0:00,8
20.08.2020 0:00,10
21.08.2020 0:00,10
22.08.2020 0:00,6
23.08.2020 0:00,7
24.08.2020 0:00,5
25.08.2020 0:00,5
26.08.2020 0:00,12
27.08.2020 0:00,11
28.08.2020 0:00,6
29.08.2020 0:00,5
30.08.2020 0:00,11
31.08.2020 0:00,7
01.09.2020 0:00,9
02.09.2020 0:00,12
03.09.2020 0:00,11
04.09.2020 0:00,9
05.09.2020 0:00,14
06.09.2020 0:00,9
07.09.2020 0:00,11
08.09.2020 0:00,16
09.09.2020 0:00,16
10.09.2020 0:00,14
11.09.2020 0:00,12
12.09.2020 0:00,18
13.09.2020 0:00,18
14.09.2020 0:00,15
15.09.2020 0:00,9
16.09.2020 0:00,15
17.09.2020 0:00,9
18.09.2020 0:00,12
19.09.2020 0:00,8
20.09.2020 0:00,6
21.09.2020 0:00,5
22.09.2020 0:00,7
23.09.2020 0:00,11
24.09.2020 0:00,9
25.09.2020 0:00,5
26.09.2020 0:00,6
27.09.2020 0:00,7
28.09.2020 0:00,8
29.09.2020 0:00,6
30.09.2020 0:00,7
01.04.2020 0:00,3
02.04.2020 0:00,4
03.04.2020 0:00,3
04.04.2020 0:00,1
05.04.2020 0:00,1
06.04.2020 0:00,1
07.04.2020 0:00,6
08.04.2020 0:00,5
09.04.2020 0:00,4
10.04.2020 0:00,1
11.04.2020 0:00,3
12.04.2020 0:00,3
13.04.2020 0:00,2
14.04.2020 0:00,2
15.04.2020 0:00,2
16.04.2020 0:00,3
17.04.2020 0:00,1
18.04.2020 0:00,1
19.04.2020 0:00,nan
20.04.2020 0:00,1
21.04.2020 0:00,2
22.04.2020 0:00,3
23.04.2020 0:00,3
24.04.2020 0:00,1
25.04.2020 0:00,nan
26.04.2020 0:00,4
27.04.2020 0:00,2
28.04.2020 0:00,1
29.04.2020 0:00,2
30.04.2020 0:00,nan
01.05.2020 0:00,1
02.05.2020 0:00,1
03.05.2020 0:00,3
04.05.2020 0:00,3
05.05.2020 0:00,2
06.05.2020 0:00,4
07.05.2020 0:00,6
08.05.2020 0:00,9
09.05.2020 0:00,7
10.05.2020 0:00,5
11.05.2020 0:00,4
12.05.2020 0:00,2
13.05.2020 0:00,6
14.05.2020 0:00,4
15.05.2020 0:00,4
16.05.2020 0:00,9
17.05.2020 0:00,7
18.05.2020 0:00,8
19.05.2020 0:00,6
20.05.2020 0:00,6
21.05.2020 0:00,7
22.05.2020 0:00,4
23.05.2020 0:00,5
24.05.2020 0:00,5
25.05.2020 0:00,4
26.05.2020 0:00,5
27.05.2020 0:00,6
28.05.2020 0:00,4
29.05.2020 0:00,3
30.05.2020 0:00,3
31.05.2020 0:00,2
01.06.2020 0:00,5
02.06.2020 0:00,1
03.06.2020 0:00,3
04.06.2020 0:00,2
05.06.2020 0:00,8
06.06.2020 0:00,5
07.06.2020 0:00,5
08.06.2020 0:00,3
09.06.2020 0:00,4
10.06.2020 0:00,5
11.06.2020 0:00,6
12.06.2020 0:00,6
13.06.2020 0:00,6
14.06.2020 0:00,3
15.06.2020 0:00,4
16.06.2020 0:00,4
17.06.2020 0:00,5
18.06.2020 0:00,7
19.06.2020 0:00,5
20.06.2020 0:00,3
21.06.2020 0:00,4
22.06.2020 0:00,6
23.06.2020 0:00,6
24.06.2020 0:00,9
25.06.2020 0:00,7
26.06.2020 0:00,4
27.06.2020 0:00,8
28.06.2020 0:00,7
29.06.2020 0:00,5
30.06.2020 0:00,10
01.01.2020 0:00,14
02.01.2020 0:00,17
03.01.2020 0:00,12
04.01.2020 0:00,8
05.01.2020 0:00,11
06.01.2020 0:00,14
07.01.2020 0:00,13
08.01.2020 0:00,19
09.01.2020 0:00,22
10.01.2020 0:00,13
11.01.2020 0:00,12
12.01.2020 0:00,14
13.01.2020 0:00,17
14.01.2020 0:00,21
15.01.2020 0:00,17
16.01.2020 0:00,18
17.01.2020 0:00,15
18.01.2020 0:00,7
19.01.2020 0:00,8
20.01.2020 0:00,8
21.01.2020 0:00,15
22.01.2020 0:00,10
23.01.2020 0:00,18
24.01.2020 0:00,40
25.01.2020 0:00,25
26.01.2020 0:00,6
27.01.2020 0:00,12
28.01.2020 0:00,6
29.01.2020 0:00,10
30.01.2020 0:00,15
31.01.2020 0:00,14
01.02.2020 0:00,5
02.02.2020 0:00,10
03.02.2020 0:00,7
04.02.2020 0:00,3
05.02.2020 0:00,7
06.02.2020 0:00,9
07.02.2020 0:00,12
08.02.2020 0:00,20
09.02.2020 0:00,9
10.02.2020 0:00,3
11.02.2020 0:00,11
12.02.2020 0:00,10
13.02.2020 0:00,15
14.02.2020 0:00,9
15.02.2020 0:00,13
16.02.2020 0:00,28
17.02.2020 0:00,14
18.02.2020 0:00,12
19.02.2020 0:00,11
20.02.2020 0:00,11
21.02.2020 0:00,10
22.02.2020 0:00,14
23.02.2020 0:00,13
24.02.2020 0:00,16
25.02.2020 0:00,14
26.02.2020 0:00,5
27.02.2020 0:00,6
28.02.2020 0:00,5
29.02.2020 0:00,9
01.03.2020 0:00,3
02.03.2020 0:00,16
03.03.2020 0:00,8
04.03.2020 0:00,9
05.03.2020 0:00,7
06.03.2020 0:00,9
07.03.2020 0:00,4
08.03.2020 0:00,9
09.03.2020 0:00,9
10.03.2020 0:00,13
11.03.2020 0:00,15
12.03.2020 0:00,8
13.03.2020 0:00,6
14.03.2020 0:00,2
15.03.2020 0:00,2
16.03.2020 0:00,10
17.03.2020 0:00,14
18.03.2020 0:00,18
19.03.2020 0:00,19
20.03.2020 0:00,5
21.03.2020 0:00,1
22.03.2020 0:00,2
23.03.2020 0:00,1
24.03.2020 0:00,1
25.03.2020 0:00,2
26.03.2020 0:00,4
27.03.2020 0:00,5
28.03.2020 0:00,2
29.03.2020 0:00,2
30.03.2020 0:00,2
31.03.2020 0:00,1
01.10.2019 0:00,14
02.10.2019 0:00,12
03.10.2019 0:00,8
04.10.2019 0:00,9
05.10.2019 0:00,13
06.10.2019 0:00,9
07.10.2019 0:00,12
08.10.2019 0:00,24
09.10.2019 0:00,14
10.10.2019 0:00,14
11.10.2019 0:00,23
12.10.2019 0:00,18
13.10.2019 0:00,26
14.10.2019 0:00,25
15.10.2019 0:00,26
16.10.2019 0:00,23
17.10.2019 0:00,18
18.10.2019 0:00,24
19.10.2019 0:00,19
20.10.2019 0:00,21
21.10.2019 0:00,33
22.10.2019 0:00,31
23.10.2019 0:00,23
24.10.2019 0:00,21
25.10.2019 0:00,27
26.10.2019 0:00,24
27.10.2019 0:00,23
28.10.2019 0:00,12
29.10.2019 0:00,9
30.10.2019 0:00,9
31.10.2019 0:00,9
01.11.2019 0:00,5
02.11.2019 0:00,3
03.11.2019 0:00,10
04.11.2019 0:00,6
05.11.2019 0:00,10
06.11.2019 0:00,13
07.11.2019 0:00,13
08.11.2019 0:00,7
09.11.2019 0:00,8
10.11.2019 0:00,11
11.11.2019 0:00,8
12.11.2019 0:00,4
13.11.2019 0:00,9
14.11.2019 0:00,8
15.11.2019 0:00,6
16.11.2019 0:00,4
17.11.2019 0:00,10
18.11.2019 0:00,9
19.11.2019 0:00,5
20.11.2019 0:00,7
21.11.2019 0:00,6
22.11.2019 0:00,7
23.11.2019 0:00,6
24.11.2019 0:00,8
25.11.2019 0:00,11
26.11.2019 0:00,15
27.11.2019 0:00,12
28.11.2019 0:00,11
29.11.2019 0:00,11
30.11.2019 0:00,11
01.12.2019 0:00,11
02.12.2019 0:00,11
03.12.2019 0:00,12
04.12.2019 0:00,11
05.12.2019 0:00,20
06.12.2019 0:00,19
07.12.2019 0:00,17
08.12.2019 0:00,22
09.12.2019 0:00,10
10.12.2019 0:00,11
11.12.2019 0:00,10
12.12.2019 0:00,9
13.12.2019 0:00,9
14.12.2019 0:00,18
15.12.2019 0:00,33
16.12.2019 0:00,43
17.12.2019 0:00,32
18.12.2019 0:00,28
19.12.2019 0:00,13
20.12.2019 0:00,4
21.12.2019 0:00,6
22.12.2019 0:00,5
23.12.2019 0:00,8
24.12.2019 0:00,12
25.12.2019 0:00,8
26.12.2019 0:00,11
27.12.2019 0:00,9
28.12.2019 0:00,8
29.12.2019 0:00,nan
29.07.2019 0:00,4
30.07.2019 0:00,7
31.07.2019 0:00,7
01.08.2019 0:00,8
02.08.2019 0:00,9
03.08.2019 0:00,6
04.08.2019 0:00,7
05.08.2019 0:00,6
06.08.2019 0:00,7
07.08.2019 0:00,9
08.08.2019 0:00,9
09.08.2019 0:00,4
10.08.2019 0:00,4
11.08.2019 0:00,5
12.08.2019 0:00,3
13.08.2019 0:00,3
14.08.2019 0:00,2
15.08.2019 0:00,4
16.08.2019 0:00,3
17.08.2019 0:00,3
18.08.2019 0:00,4
19.08.2019 0:00,6
20.08.2019 0:00,4
21.08.2019 0:00,6
22.08.2019 0:00,3
23.08.2019 0:00,4
24.08.2019 0:00,4
25.08.2019 0:00,3
26.08.2019 0:00,5
27.08.2019 0:00,8
28.08.2019 0:00,12
29.08.2019 0:00,12
30.08.2019 0:00,14
31.08.2019 0:00,13
01.09.2019 0:00,8
02.09.2019 0:00,13
03.09.2019 0:00,7
04.09.2019 0:00,6
05.09.2019 0:00,12
06.09.2019 0:00,17
07.09.2019 0:00,7
08.09.2019 0:00,6
09.09.2019 0:00,5
10.09.2019 0:00,7
11.09.2019 0:00,12
12.09.2019 0:00,13
13.09.2019 0:00,12
14.09.2019 0:00,9
15.09.2019 0:00,12
16.09.2019 0:00,15
17.09.2019 0:00,16
18.09.2019 0:00,10
19.09.2019 0:00,16
20.09.2019 0:00,13
21.09.2019 0:00,14
22.09.2019 0:00,22
23.09.2019 0:00,22
24.09.2019 0:00,5
25.09.2019 0:00,9
26.09.2019 0:00,9
27.09.2019 0:00,9
28.09.2019 0:00,14
29.09.2019 0:00,12
30.09.2019 0:00,13
01.04.2019 0:00,7
02.04.2019 0:00,5
03.04.2019 0:00,5
04.04.2019 0:00,5
05.04.2019 0:00,6
06.04.2019 0:00,4
07.04.2019 0:00,11
08.04.2019 0:00,16
09.04.2019 0:00,9
10.04.2019 0:00,8
11.04.2019 0:00,6
12.04.2019 0:00,6
13.04.2019 0:00,7
14.04.2019 0:00,11
15.04.2019 0:00,21
16.04.2019 0:00,16
17.04.2019 0:00,15
18.04.2019 0:00,16
19.04.2019 0:00,16
20.04.2019 0:00,17
21.04.2019 0:00,13
22.04.2019 0:00,4
23.04.2019 0:00,4
24.04.2019 0:00,7
25.04.2019 0:00,6
26.04.2019 0:00,5
27.04.2019 0:00,5
28.04.2019 0:00,6
29.04.2019 0:00,5
30.04.2019 0:00,3
01.05.2019 0:00,8
02.05.2019 0:00,9
03.05.2019 0:00,8
04.05.2019 0:00,4
05.05.2019 0:00,5
06.05.2019 0:00,7
07.05.2019 0:00,6
08.05.2019 0:00,13
09.05.2019 0:00,9
10.05.2019 0:00,6
11.05.2019 0:00,5
12.05.2019 0:00,6
13.05.2019 0:00,6
14.05.2019 0:00,7
15.05.2019 0:00,10
16.05.2019 0:00,11
17.05.2019 0:00,12
18.05.2019 0:00,6
19.05.2019 0:00,6
20.05.2019 0:00,5
21.05.2019 0:00,5
22.05.2019 0:00,7
23.05.2019 0:00,8
24.05.2019 0:00,8
25.05.2019 0:00,11
26.05.2019 0:00,7
27.05.2019 0:00,8
28.05.2019 0:00,7
29.05.2019 0:00,5
30.05.2019 0:00,6
31.05.2019 0:00,3
01.06.2019 0:00,6
02.06.2019 0:00,6
03.06.2019 0:00,3
01.01.2019 0:00,7
02.01.2019 0:00,9
03.01.2019 0:00,15
04.01.2019 0:00,7
05.01.2019 0:00,9
06.01.2019 0:00,12
07.01.2019 0:00,14
08.01.2019 0:00,20
09.01.2019 0:00,13
10.01.2019 0:00,12
11.01.2019 0:00,7
12.01.2019 0:00,14
13.01.2019 0:00,10
14.01.2019 0:00,9
15.01.2019 0:00,16
16.01.2019 0:00,22
17.01.2019 0:00,22
18.01.2019 0:00,11
19.01.2019 0:00,8
20.01.2019 0:00,10
21.01.2019 0:00,13
22.01.2019 0:00,13
23.01.2019 0:00,9
24.01.2019 0:00,13
25.01.2019 0:00,12
26.01.2019 0:00,24
27.01.2019 0:00,8
28.01.2019 0:00,16
29.01.2019 0:00,19
30.01.2019 0:00,19
31.01.2019 0:00,11
01.02.2019 0:00,4
02.02.2019 0:00,6
03.02.2019 0:00,10
04.02.2019 0:00,9
05.02.2019 0:00,10
06.02.2019 0:00,13
07.02.2019 0:00,8
08.02.2019 0:00,18
09.02.2019 0:00,17
10.02.2019 0:00,8
11.02.2019 0:00,7
12.02.2019 0:00,13
13.02.2019 0:00,11
14.02.2019 0:00,16
15.02.2019 0:00,15
16.02.2019 0:00,21
17.02.2019 0:00,25
18.02.2019 0:00,29
19.02.2019 0:00,19
20.02.2019 0:00,17
21.02.2019 0:00,10
