Column1,ValueO3
01.04.2021 0:00,31
02.04.2021 0:00,27
03.04.2021 0:00,23
04.04.2021 0:00,34
05.04.2021 0:00,25
06.04.2021 0:00,25
07.04.2021 0:00,30
08.04.2021 0:00,37
09.04.2021 0:00,40
10.04.2021 0:00,40
11.04.2021 0:00,37
12.04.2021 0:00,21
13.04.2021 0:00,23
14.04.2021 0:00,26
15.04.2021 0:00,28
16.04.2021 0:00,28
17.04.2021 0:00,24
18.04.2021 0:00,28
19.04.2021 0:00,25
20.04.2021 0:00,35
21.04.2021 0:00,39
22.04.2021 0:00,32
23.04.2021 0:00,16
24.04.2021 0:00,nan
01.03.2021 0:00,23
02.03.2021 0:00,24
03.03.2021 0:00,32
04.03.2021 0:00,32
05.03.2021 0:00,26
06.03.2021 0:00,32
07.03.2021 0:00,32
08.03.2021 0:00,25
09.03.2021 0:00,26
10.03.2021 0:00,35
11.03.2021 0:00,25
12.03.2021 0:00,27
13.03.2021 0:00,30
14.03.2021 0:00,19
15.03.2021 0:00,24
16.03.2021 0:00,22
17.03.2021 0:00,25
18.03.2021 0:00,21
19.03.2021 0:00,31
20.03.2021 0:00,17
21.03.2021 0:00,23
22.03.2021 0:00,29
23.03.2021 0:00,24
24.03.2021 0:00,31
25.03.2021 0:00,37
26.03.2021 0:00,42
27.03.2021 0:00,30
28.03.2021 0:00,33
29.03.2021 0:00,33
30.03.2021 0:00,35
31.03.2021 0:00,38
01.02.2021 0:00,4
02.02.2021 0:00,8
03.02.2021 0:00,18
04.02.2021 0:00,15
05.02.2021 0:00,11
06.02.2021 0:00,20
07.02.2021 0:00,18
08.02.2021 0:00,19
09.02.2021 0:00,20
10.02.2021 0:00,26
11.02.2021 0:00,24
12.02.2021 0:00,23
13.02.2021 0:00,23
14.02.2021 0:00,25
15.02.2021 0:00,26
16.02.2021 0:00,14
17.02.2021 0:00,20
18.02.2021 0:00,18
19.02.2021 0:00,8
20.02.2021 0:00,26
21.02.2021 0:00,24
22.02.2021 0:00,27
23.02.2021 0:00,23
24.02.2021 0:00,25
25.02.2021 0:00,23
26.02.2021 0:00,21
27.02.2021 0:00,27
28.02.2021 0:00,24
04.01.2021 0:00,13
05.01.2021 0:00,22
06.01.2021 0:00,23
07.01.2021 0:00,20
08.01.2021 0:00,10
09.01.2021 0:00,11
10.01.2021 0:00,9
11.01.2021 0:00,9
12.01.2021 0:00,15
13.01.2021 0:00,18
14.01.2021 0:00,14
15.01.2021 0:00,15
16.01.2021 0:00,17
17.01.2021 0:00,17
18.01.2021 0:00,22
19.01.2021 0:00,24
20.01.2021 0:00,25
21.01.2021 0:00,27
22.01.2021 0:00,28
23.01.2021 0:00,28
24.01.2021 0:00,24
25.01.2021 0:00,14
26.01.2021 0:00,16
27.01.2021 0:00,20
28.01.2021 0:00,22
29.01.2021 0:00,23
30.01.2021 0:00,12
31.01.2021 0:00,17
01.10.2020 0:00,25
02.10.2020 0:00,27
03.10.2020 0:00,25
04.10.2020 0:00,13
05.10.2020 0:00,20
06.10.2020 0:00,12
07.10.2020 0:00,14
08.10.2020 0:00,18
09.10.2020 0:00,19
10.10.2020 0:00,23
11.10.2020 0:00,9
12.10.2020 0:00,10
13.10.2020 0:00,24
14.10.2020 0:00,27
15.10.2020 0:00,16
16.10.2020 0:00,10
17.10.2020 0:00,16
18.10.2020 0:00,21
19.10.2020 0:00,23
20.10.2020 0:00,26
21.10.2020 0:00,24
22.10.2020 0:00,17
23.10.2020 0:00,11
24.10.2020 0:00,15
25.10.2020 0:00,21
26.10.2020 0:00,21
27.10.2020 0:00,12
28.10.2020 0:00,17
29.10.2020 0:00,15
30.10.2020 0:00,8
31.10.2020 0:00,11
01.11.2020 0:00,4
02.11.2020 0:00,13
03.11.2020 0:00,7
04.11.2020 0:00,9
05.11.2020 0:00,14
06.11.2020 0:00,11
07.11.2020 0:00,nan
08.11.2020 0:00,4
09.11.2020 0:00,10
10.11.2020 0:00,10
11.11.2020 0:00,8
12.11.2020 0:00,5
13.11.2020 0:00,11
14.11.2020 0:00,13
15.11.2020 0:00,4
16.11.2020 0:00,5
17.11.2020 0:00,6
18.11.2020 0:00,13
19.11.2020 0:00,18
20.11.2020 0:00,18
21.11.2020 0:00,13
22.11.2020 0:00,9
23.11.2020 0:00,13
24.11.2020 0:00,10
25.11.2020 0:00,3
26.11.2020 0:00,2
27.11.2020 0:00,1
28.11.2020 0:00,7
29.11.2020 0:00,9
30.11.2020 0:00,14
01.12.2020 0:00,18
02.12.2020 0:00,16
03.12.2020 0:00,20
04.12.2020 0:00,21
05.12.2020 0:00,18
06.12.2020 0:00,14
07.12.2020 0:00,19
08.12.2020 0:00,16
09.12.2020 0:00,7
10.12.2020 0:00,7
11.12.2020 0:00,10
12.12.2020 0:00,10
13.12.2020 0:00,8
14.12.2020 0:00,13
15.12.2020 0:00,9
16.12.2020 0:00,1
17.12.2020 0:00,2
18.12.2020 0:00,4
19.12.2020 0:00,9
20.12.2020 0:00,12
21.12.2020 0:00,6
22.12.2020 0:00,9
23.12.2020 0:00,11
24.12.2020 0:00,9
25.12.2020 0:00,12
26.12.2020 0:00,12
27.12.2020 0:00,25
28.12.2020 0:00,27
29.12.2020 0:00,24
30.12.2020 0:00,14
31.12.2020 0:00,16
01.01.2021 0:00,24
02.01.2021 0:00,25
03.01.2021 0:00,17
01.07.2020 0:00,32
02.07.2020 0:00,24
03.07.2020 0:00,24
04.07.2020 0:00,33
05.07.2020 0:00,35
06.07.2020 0:00,22
07.07.2020 0:00,37
08.07.2020 0:00,38
09.07.2020 0:00,36
10.07.2020 0:00,37
11.07.2020 0:00,22
12.07.2020 0:00,26
13.07.2020 0:00,29
14.07.2020 0:00,39
15.07.2020 0:00,34
16.07.2020 0:00,12
17.07.2020 0:00,24
18.07.2020 0:00,24
19.07.2020 0:00,33
20.07.2020 0:00,39
21.07.2020 0:00,48
22.07.2020 0:00,34
23.07.2020 0:00,39
24.07.2020 0:00,18
25.07.2020 0:00,22
26.07.2020 0:00,31
27.07.2020 0:00,46
28.07.2020 0:00,46
29.07.2020 0:00,39
30.07.2020 0:00,39
31.07.2020 0:00,36
01.08.2020 0:00,34
02.08.2020 0:00,36
03.08.2020 0:00,34
04.08.2020 0:00,6
05.08.2020 0:00,31
06.08.2020 0:00,29
07.08.2020 0:00,29
08.08.2020 0:00,35
09.08.2020 0:00,36
10.08.2020 0:00,33
11.08.2020 0:00,26
12.08.2020 0:00,39
13.08.2020 0:00,40
14.08.2020 0:00,18
15.08.2020 0:00,31
16.08.2020 0:00,30
17.08.2020 0:00,28
18.08.2020 0:00,26
19.08.2020 0:00,34
20.08.2020 0:00,42
21.08.2020 0:00,48
22.08.2020 0:00,39
23.08.2020 0:00,29
24.08.2020 0:00,21
25.08.2020 0:00,37
26.08.2020 0:00,29
27.08.2020 0:00,35
28.08.2020 0:00,37
29.08.2020 0:00,34
30.08.2020 0:00,31
31.08.2020 0:00,26
01.09.2020 0:00,28
02.09.2020 0:00,29
03.09.2020 0:00,30
04.09.2020 0:00,41
05.09.2020 0:00,39
06.09.2020 0:00,32
07.09.2020 0:00,26
08.09.2020 0:00,38
09.09.2020 0:00,38
10.09.2020 0:00,43
11.09.2020 0:00,39
12.09.2020 0:00,37
13.09.2020 0:00,34
14.09.2020 0:00,34
15.09.2020 0:00,28
16.09.2020 0:00,35
17.09.2020 0:00,22
18.09.2020 0:00,30
19.09.2020 0:00,33
20.09.2020 0:00,34
21.09.2020 0:00,37
22.09.2020 0:00,30
23.09.2020 0:00,29
24.09.2020 0:00,24
25.09.2020 0:00,19
26.09.2020 0:00,22
27.09.2020 0:00,25
28.09.2020 0:00,11
29.09.2020 0:00,7
30.09.2020 0:00,17
01.04.2020 0:00,33
02.04.2020 0:00,38
03.04.2020 0:00,39
04.04.2020 0:00,38
05.04.2020 0:00,34
06.04.2020 0:00,33
07.04.2020 0:00,39
08.04.2020 0:00,43
09.04.2020 0:00,40
10.04.2020 0:00,38
11.04.2020 0:00,43
12.04.2020 0:00,41
13.04.2020 0:00,36
14.04.2020 0:00,28
15.04.2020 0:00,38
16.04.2020 0:00,37
17.04.2020 0:00,45
18.04.2020 0:00,43
19.04.2020 0:00,32
20.04.2020 0:00,25
21.04.2020 0:00,33
22.04.2020 0:00,37
23.04.2020 0:00,41
24.04.2020 0:00,45
25.04.2020 0:00,28
26.04.2020 0:00,42
27.04.2020 0:00,37
28.04.2020 0:00,26
29.04.2020 0:00,29
30.04.2020 0:00,24
01.05.2020 0:00,6
02.05.2020 0:00,30
03.05.2020 0:00,31
04.05.2020 0:00,32
05.05.2020 0:00,32
06.05.2020 0:00,36
07.05.2020 0:00,40
08.05.2020 0:00,44
09.05.2020 0:00,43
10.05.2020 0:00,32
11.05.2020 0:00,25
12.05.2020 0:00,30
13.05.2020 0:00,26
14.05.2020 0:00,17
15.05.2020 0:00,34
16.05.2020 0:00,18
17.05.2020 0:00,24
18.05.2020 0:00,20
19.05.2020 0:00,13
20.05.2020 0:00,31
21.05.2020 0:00,37
22.05.2020 0:00,38
23.05.2020 0:00,23
24.05.2020 0:00,24
25.05.2020 0:00,7
26.05.2020 0:00,21
27.05.2020 0:00,27
28.05.2020 0:00,27
29.05.2020 0:00,20
30.05.2020 0:00,26
31.05.2020 0:00,7
01.06.2020 0:00,22
02.06.2020 0:00,24
03.06.2020 0:00,32
04.06.2020 0:00,31
05.06.2020 0:00,25
06.06.2020 0:00,29
07.06.2020 0:00,25
08.06.2020 0:00,25
09.06.2020 0:00,17
10.06.2020 0:00,14
11.06.2020 0:00,24
12.06.2020 0:00,35
13.06.2020 0:00,29
14.06.2020 0:00,22
15.06.2020 0:00,18
16.06.2020 0:00,14
17.06.2020 0:00,21
18.06.2020 0:00,29
19.06.2020 0:00,27
20.06.2020 0:00,10
21.06.2020 0:00,2
22.06.2020 0:00,8
23.06.2020 0:00,28
24.06.2020 0:00,35
25.06.2020 0:00,26
26.06.2020 0:00,30
27.06.2020 0:00,45
28.06.2020 0:00,41
29.06.2020 0:00,33
