Column1,ValuePM25
01.04.2021 0:00,106
02.04.2021 0:00,94
03.04.2021 0:00,69
04.04.2021 0:00,57
05.04.2021 0:00,67
06.04.2021 0:00,56
07.04.2021 0:00,50
08.04.2021 0:00,50
09.04.2021 0:00,68
10.04.2021 0:00,50
11.04.2021 0:00,66
12.04.2021 0:00,63
13.04.2021 0:00,62
14.04.2021 0:00,48
15.04.2021 0:00,62
16.04.2021 0:00,79
17.04.2021 0:00,91
18.04.2021 0:00,78
19.04.2021 0:00,100
20.04.2021 0:00,82
21.04.2021 0:00,80
22.04.2021 0:00,59
23.04.2021 0:00,64
24.04.2021 0:00,96
01.03.2021 0:00,124
02.03.2021 0:00,123
03.03.2021 0:00,134
04.03.2021 0:00,134
05.03.2021 0:00,107
06.03.2021 0:00,45
07.03.2021 0:00,124
08.03.2021 0:00,127
09.03.2021 0:00,82
10.03.2021 0:00,86
11.03.2021 0:00,120
12.03.2021 0:00,94
13.03.2021 0:00,92
14.03.2021 0:00,52
15.03.2021 0:00,56
16.03.2021 0:00,62
17.03.2021 0:00,63
18.03.2021 0:00,67
19.03.2021 0:00,89
20.03.2021 0:00,115
21.03.2021 0:00,104
22.03.2021 0:00,87
23.03.2021 0:00,53
24.03.2021 0:00,75
25.03.2021 0:00,110
26.03.2021 0:00,127
27.03.2021 0:00,117
28.03.2021 0:00,52
29.03.2021 0:00,97
30.03.2021 0:00,113
31.03.2021 0:00,108
01.02.2021 0:00,98
02.02.2021 0:00,154
03.02.2021 0:00,139
04.02.2021 0:00,82
05.02.2021 0:00,111
06.02.2021 0:00,161
07.02.2021 0:00,96
08.02.2021 0:00,58
09.02.2021 0:00,62
10.02.2021 0:00,78
11.02.2021 0:00,88
12.02.2021 0:00,69
13.02.2021 0:00,87
14.02.2021 0:00,111
15.02.2021 0:00,83
16.02.2021 0:00,117
17.02.2021 0:00,137
18.02.2021 0:00,99
19.02.2021 0:00,135
20.02.2021 0:00,150
21.02.2021 0:00,94
22.02.2021 0:00,137
23.02.2021 0:00,141
24.02.2021 0:00,164
25.02.2021 0:00,164
26.02.2021 0:00,164
27.02.2021 0:00,119
28.02.2021 0:00,81
04.01.2021 0:00,52
05.01.2021 0:00,106
06.01.2021 0:00,82
07.01.2021 0:00,65
08.01.2021 0:00,62
09.01.2021 0:00,124
10.01.2021 0:00,97
11.01.2021 0:00,125
12.01.2021 0:00,144
13.01.2021 0:00,138
14.01.2021 0:00,77
15.01.2021 0:00,77
16.01.2021 0:00,96
17.01.2021 0:00,100
18.01.2021 0:00,125
19.01.2021 0:00,114
20.01.2021 0:00,73
21.01.2021 0:00,56
22.01.2021 0:00,49
23.01.2021 0:00,43
24.01.2021 0:00,24
25.01.2021 0:00,39
26.01.2021 0:00,79
27.01.2021 0:00,82
28.01.2021 0:00,77
29.01.2021 0:00,74
30.01.2021 0:00,65
31.01.2021 0:00,92
01.10.2020 0:00,56
02.10.2020 0:00,44
03.10.2020 0:00,41
04.10.2020 0:00,41
05.10.2020 0:00,64
06.10.2020 0:00,53
07.10.2020 0:00,58
08.10.2020 0:00,33
09.10.2020 0:00,46
10.10.2020 0:00,65
11.10.2020 0:00,88
12.10.2020 0:00,56
13.10.2020 0:00,30
14.10.2020 0:00,38
15.10.2020 0:00,32
16.10.2020 0:00,60
17.10.2020 0:00,65
18.10.2020 0:00,83
19.10.2020 0:00,97
20.10.2020 0:00,94
21.10.2020 0:00,72
22.10.2020 0:00,116
23.10.2020 0:00,151
24.10.2020 0:00,145
25.10.2020 0:00,112
26.10.2020 0:00,79
27.10.2020 0:00,57
28.10.2020 0:00,82
29.10.2020 0:00,97
30.10.2020 0:00,59
31.10.2020 0:00,66
01.11.2020 0:00,79
02.11.2020 0:00,127
03.11.2020 0:00,148
04.11.2020 0:00,102
05.11.2020 0:00,59
06.11.2020 0:00,73
07.11.2020 0:00,109
08.11.2020 0:00,119
09.11.2020 0:00,62
10.11.2020 0:00,60
11.11.2020 0:00,44
12.11.2020 0:00,77
13.11.2020 0:00,147
14.11.2020 0:00,122
15.11.2020 0:00,115
16.11.2020 0:00,140
17.11.2020 0:00,100
18.11.2020 0:00,104
19.11.2020 0:00,67
20.11.2020 0:00,74
21.11.2020 0:00,61
22.11.2020 0:00,97
23.11.2020 0:00,129
24.11.2020 0:00,142
25.11.2020 0:00,115
26.11.2020 0:00,94
27.11.2020 0:00,103
28.11.2020 0:00,107
29.11.2020 0:00,76
30.11.2020 0:00,115
01.12.2020 0:00,131
02.12.2020 0:00,83
03.12.2020 0:00,62
04.12.2020 0:00,53
05.12.2020 0:00,63
06.12.2020 0:00,48
07.12.2020 0:00,22
08.12.2020 0:00,37
09.12.2020 0:00,25
10.12.2020 0:00,83
11.12.2020 0:00,108
12.12.2020 0:00,85
13.12.2020 0:00,84
14.12.2020 0:00,77
15.12.2020 0:00,91
16.12.2020 0:00,120
17.12.2020 0:00,152
18.12.2020 0:00,108
19.12.2020 0:00,109
20.12.2020 0:00,105
21.12.2020 0:00,69
22.12.2020 0:00,109
23.12.2020 0:00,149
24.12.2020 0:00,109
25.12.2020 0:00,64
26.12.2020 0:00,66
27.12.2020 0:00,43
28.12.2020 0:00,32
29.12.2020 0:00,27
30.12.2020 0:00,67
31.12.2020 0:00,102
01.01.2021 0:00,94
02.01.2021 0:00,58
03.01.2021 0:00,61
01.07.2020 0:00,30
02.07.2020 0:00,61
03.07.2020 0:00,65
04.07.2020 0:00,46
05.07.2020 0:00,56
06.07.2020 0:00,53
07.07.2020 0:00,36
08.07.2020 0:00,46
09.07.2020 0:00,46
10.07.2020 0:00,36
11.07.2020 0:00,29
12.07.2020 0:00,26
13.07.2020 0:00,24
14.07.2020 0:00,27
15.07.2020 0:00,53
16.07.2020 0:00,66
17.07.2020 0:00,45
18.07.2020 0:00,47
19.07.2020 0:00,43
20.07.2020 0:00,38
21.07.2020 0:00,54
22.07.2020 0:00,62
23.07.2020 0:00,55
24.07.2020 0:00,69
25.07.2020 0:00,49
26.07.2020 0:00,49
27.07.2020 0:00,51
28.07.2020 0:00,42
29.07.2020 0:00,50
30.07.2020 0:00,55
31.07.2020 0:00,61
01.08.2020 0:00,38
02.08.2020 0:00,30
03.08.2020 0:00,43
04.08.2020 0:00,50
05.08.2020 0:00,42
06.08.2020 0:00,54
07.08.2020 0:00,43
08.08.2020 0:00,54
09.08.2020 0:00,65
10.08.2020 0:00,74
11.08.2020 0:00,70
12.08.2020 0:00,57
13.08.2020 0:00,54
14.08.2020 0:00,66
15.08.2020 0:00,58
16.08.2020 0:00,49
17.08.2020 0:00,47
18.08.2020 0:00,51
19.08.2020 0:00,35
20.08.2020 0:00,39
21.08.2020 0:00,52
22.08.2020 0:00,61
23.08.2020 0:00,63
24.08.2020 0:00,42
25.08.2020 0:00,32
26.08.2020 0:00,34
27.08.2020 0:00,38
28.08.2020 0:00,28
29.08.2020 0:00,30
30.08.2020 0:00,37
31.08.2020 0:00,45
01.09.2020 0:00,22
02.09.2020 0:00,20
03.09.2020 0:00,49
04.09.2020 0:00,45
05.09.2020 0:00,49
06.09.2020 0:00,50
07.09.2020 0:00,54
08.09.2020 0:00,43
09.09.2020 0:00,49
10.09.2020 0:00,52
11.09.2020 0:00,71
12.09.2020 0:00,59
13.09.2020 0:00,71
14.09.2020 0:00,77
15.09.2020 0:00,67
16.09.2020 0:00,42
17.09.2020 0:00,44
18.09.2020 0:00,43
19.09.2020 0:00,46
20.09.2020 0:00,53
21.09.2020 0:00,41
22.09.2020 0:00,42
23.09.2020 0:00,46
24.09.2020 0:00,41
25.09.2020 0:00,39
26.09.2020 0:00,30
27.09.2020 0:00,41
28.09.2020 0:00,27
29.09.2020 0:00,38
30.09.2020 0:00,49
01.04.2020 0:00,57
02.04.2020 0:00,72
03.04.2020 0:00,90
04.04.2020 0:00,111
05.04.2020 0:00,79
06.04.2020 0:00,73
07.04.2020 0:00,55
08.04.2020 0:00,73
09.04.2020 0:00,117
10.04.2020 0:00,94
11.04.2020 0:00,54
12.04.2020 0:00,62
13.04.2020 0:00,84
14.04.2020 0:00,68
15.04.2020 0:00,67
16.04.2020 0:00,68
17.04.2020 0:00,62
18.04.2020 0:00,51
19.04.2020 0:00,63
20.04.2020 0:00,36
21.04.2020 0:00,58
22.04.2020 0:00,67
23.04.2020 0:00,67
24.04.2020 0:00,75
25.04.2020 0:00,61
26.04.2020 0:00,46
27.04.2020 0:00,66
28.04.2020 0:00,48
29.04.2020 0:00,34
30.04.2020 0:00,37
01.05.2020 0:00,40
02.05.2020 0:00,32
03.05.2020 0:00,38
04.05.2020 0:00,50
05.05.2020 0:00,47
06.05.2020 0:00,36
07.05.2020 0:00,36
08.05.2020 0:00,54
09.05.2020 0:00,51
10.05.2020 0:00,55
11.05.2020 0:00,39
12.05.2020 0:00,32
13.05.2020 0:00,22
14.05.2020 0:00,35
15.05.2020 0:00,59
16.05.2020 0:00,51
17.05.2020 0:00,62
18.05.2020 0:00,48
19.05.2020 0:00,46
20.05.2020 0:00,50
21.05.2020 0:00,19
22.05.2020 0:00,17
23.05.2020 0:00,22
24.05.2020 0:00,15
25.05.2020 0:00,12
26.05.2020 0:00,20
27.05.2020 0:00,19
28.05.2020 0:00,22
29.05.2020 0:00,23
30.05.2020 0:00,22
31.05.2020 0:00,12
01.06.2020 0:00,22
02.06.2020 0:00,18
03.06.2020 0:00,16
04.06.2020 0:00,13
05.06.2020 0:00,11
06.06.2020 0:00,38
07.06.2020 0:00,46
08.06.2020 0:00,54
09.06.2020 0:00,49
10.06.2020 0:00,58
11.06.2020 0:00,57
12.06.2020 0:00,30
13.06.2020 0:00,32
14.06.2020 0:00,36
15.06.2020 0:00,37
16.06.2020 0:00,52
17.06.2020 0:00,64
18.06.2020 0:00,52
19.06.2020 0:00,34
20.06.2020 0:00,26
21.06.2020 0:00,28
22.06.2020 0:00,40
23.06.2020 0:00,43
24.06.2020 0:00,41
25.06.2020 0:00,61
26.06.2020 0:00,59
27.06.2020 0:00,47
28.06.2020 0:00,43
29.06.2020 0:00,56
30.06.2020 0:00,23
01.01.2020 0:00,144
02.01.2020 0:00,160
03.01.2020 0:00,183
04.01.2020 0:00,165
05.01.2020 0:00,72
06.01.2020 0:00,97
07.01.2020 0:00,164
08.01.2020 0:00,178
09.01.2020 0:00,162
10.01.2020 0:00,184
11.01.2020 0:00,185
12.01.2020 0:00,169
13.01.2020 0:00,165
14.01.2020 0:00,168
15.01.2020 0:00,192
16.01.2020 0:00,161
17.01.2020 0:00,152
18.01.2020 0:00,159
19.01.2020 0:00,126
20.01.2020 0:00,150
21.01.2020 0:00,131
22.01.2020 0:00,152
23.01.2020 0:00,126
24.01.2020 0:00,151
25.01.2020 0:00,205
26.01.2020 0:00,207
27.01.2020 0:00,155
28.01.2020 0:00,115
29.01.2020 0:00,50
30.01.2020 0:00,100
31.01.2020 0:00,93
01.02.2020 0:00,80
02.02.2020 0:00,52
03.02.2020 0:00,83
04.02.2020 0:00,58
05.02.2020 0:00,29
06.02.2020 0:00,53
07.02.2020 0:00,79
08.02.2020 0:00,75
09.02.2020 0:00,148
10.02.2020 0:00,81
11.02.2020 0:00,25
12.02.2020 0:00,56
13.02.2020 0:00,79
14.02.2020 0:00,95
15.02.2020 0:00,95
16.02.2020 0:00,117
17.02.2020 0:00,124
18.02.2020 0:00,127
19.02.2020 0:00,110
20.02.2020 0:00,75
21.02.2020 0:00,99
22.02.2020 0:00,82
23.02.2020 0:00,112
24.02.2020 0:00,75
25.02.2020 0:00,89
26.02.2020 0:00,74
27.02.2020 0:00,58
28.02.2020 0:00,42
29.02.2020 0:00,50
01.03.2020 0:00,52
02.03.2020 0:00,29
03.03.2020 0:00,75
04.03.2020 0:00,79
05.03.2020 0:00,93
06.03.2020 0:00,69
07.03.2020 0:00,89
08.03.2020 0:00,85
09.03.2020 0:00,100
10.03.2020 0:00,104
11.03.2020 0:00,98
12.03.2020 0:00,77
13.03.2020 0:00,68
14.03.2020 0:00,57
15.03.2020 0:00,55
16.03.2020 0:00,49
17.03.2020 0:00,74
18.03.2020 0:00,125
19.03.2020 0:00,123
20.03.2020 0:00,131
21.03.2020 0:00,109
22.03.2020 0:00,44
23.03.2020 0:00,54
24.03.2020 0:00,49
25.03.2020 0:00,69
26.03.2020 0:00,92
27.03.2020 0:00,179
28.03.2020 0:00,146
29.03.2020 0:00,131
30.03.2020 0:00,94
31.03.2020 0:00,46
01.10.2019 0:00,34
02.10.2019 0:00,51
03.10.2019 0:00,47
04.10.2019 0:00,51
05.10.2019 0:00,74
06.10.2019 0:00,59
07.10.2019 0:00,78
08.10.2019 0:00,59
09.10.2019 0:00,72
10.10.2019 0:00,79
11.10.2019 0:00,53
12.10.2019 0:00,81
13.10.2019 0:00,114
14.10.2019 0:00,135
15.10.2019 0:00,142
16.10.2019 0:00,106
17.10.2019 0:00,127
18.10.2019 0:00,145
19.10.2019 0:00,156
20.10.2019 0:00,144
21.10.2019 0:00,122
22.10.2019 0:00,159
23.10.2019 0:00,132
24.10.2019 0:00,114
25.10.2019 0:00,160
26.10.2019 0:00,180
27.10.2019 0:00,171
28.10.2019 0:00,164
29.10.2019 0:00,113
30.10.2019 0:00,72
31.10.2019 0:00,64
01.11.2019 0:00,56
02.11.2019 0:00,65
03.11.2019 0:00,54
04.11.2019 0:00,49
05.11.2019 0:00,24
06.11.2019 0:00,35
07.11.2019 0:00,62
08.11.2019 0:00,78
09.11.2019 0:00,40
10.11.2019 0:00,76
11.11.2019 0:00,82
12.11.2019 0:00,68
13.11.2019 0:00,37
14.11.2019 0:00,80
15.11.2019 0:00,76
16.11.2019 0:00,56
17.11.2019 0:00,47
18.11.2019 0:00,60
