Pritisak07,Pritisak14,Pritisak21,PritisakSR,MaxTemp,MinTemp,Temp07,Temp14,Temp21,TempSR,Vlaz07,Vlaz14,Vlaz21,VlazSR,VetarBrzina07,VetarBrzina14,VetarBrzina21,VetarBrzinaSR,Oblacnost07,Oblacnost14,Oblacnost21,OblacnostSR,prethodni_dan,Value
998.1,996.2,995,996.4,14.6,3.1,4.6,13.9,10.1,9.7,74,39,51,55,0.8,2.4,2.4,1.9,0,6,0,2,26,34
993.8,994.3,994.8,994.3,16.8,6.2,8.8,16.4,13.4,13,55,45,53,51,0.8,2.4,2.4,1.9,6,8,10,8,34,28
996.9,995.1,994.5,995.5,23.6,11,13.9,22.4,18,18.1,51,33,40,41,0.8,2.4,4.4,2.5,5,6,5,5.3,28,30
991,985.3,980.2,985.5,24.6,14.4,16.4,24,20.4,20.3,50,33,35,39,4.4,6.7,2.4,4.5,8,6,6,6.7,30,30
983,988.5,992.3,987.9,20.4,8,8.2,12,9.6,9.9,85,60,68,71,2.4,4.4,0.8,2.5,9,10,6,8.3,30,15
999.4,1000.5,1001.9,1000.6,16.4,7.4,8.5,15.2,11,11.4,73,39,58,57,2.4,2.4,2.4,2.4,4,2,0,2,15,11
1002.4,1000.9,1000,1001.1,22.9,9.5,12.6,21.3,16.5,16.7,50,24,45,40,2.4,2.4,2.4,2.4,3,5,0,2.7,11,32
1001.4,998.7,998.3,999.5,23.9,11.8,13.6,23.4,18.4,18.5,48,25,39,37,0.8,2.4,0.8,1.4,7,7,6,6.7,32,27
997.8,994.6,997.3,996.6,22.8,11.9,13.4,22.2,12.8,15.3,58,41,93,64,0.8,0.8,0,0.6,5,5,10,6.7,27,31
1000.7,1003.2,1005,1003,13.3,10.4,10.6,11.9,12.2,11.7,87,76,78,80,2.4,2.4,0.8,1.9,10,10,7,9,31,36
1006.6,1006.7,1006,1006.4,15.7,8.7,8.9,14.1,12.8,12.2,89,71,81,80,0.8,0.8,2.4,1.4,9,10,0,6.3,36,51
1004.1,1001.7,1000.4,1002.1,23.9,10.8,14.2,23.6,17.4,18.2,69,31,54,51,2.4,6.7,6.7,5.3,4,1,0,1.7,51,41
998.2,995.2,995.6,996.3,25.2,14.6,16.4,24.4,19.7,20.1,63,36,44,48,6.7,4.4,2.4,4.5,0,0,10,3.3,41,20
995.6,994.6,995.1,995.1,24.1,14.4,15.8,23.2,19.6,19.6,61,33,47,47,2.4,2.4,2.4,2.4,1,4,7,4,20,32
994.5,993.1,993.4,993.7,24.3,12.3,13.5,23.2,17.8,18.1,75,45,63,61,0.8,0.8,0.8,0.8,0,6,4,3.3,32,23
993.6,992.4,991.4,992.5,27.6,13,16.9,27.3,21.1,21.6,62,32,47,47,2.4,4.4,4.4,3.7,0,0,0,0,23,11
996.1,998.6,1001.7,998.8,25.4,18.2,18.4,25.1,18.8,20.3,63,38,51,51,2.4,2.4,2.4,2.4,8,3,0,3.7,11,30
1004.9,1004,1003.4,1004.1,26.6,12.5,14.2,25.8,21.2,20.6,77,40,48,55,0.8,2.4,2.4,1.9,0,3,8,3.7,30,34
1001.5,1000,997.3,999.6,22.8,17.9,18.3,22.6,19.6,20,54,49,54,52,4.4,4.4,4.4,4.4,8,10,10,9.3,34,31
996.6,999.2,997.7,997.8,20.2,14.3,17.8,15.3,14.3,15.4,58,80,76,71,2.4,4.4,4.4,3.7,10,10,9,9.7,31,26
1001.4,1004.1,1007,1004.2,18,12.7,13.6,17.6,16.2,15.9,77,67,74,73,2.4,0.8,0.8,1.4,9,10,10,9.7,26,18
1009.4,1011.4,1012.2,1011,18.2,13.7,14.2,16.9,15.1,15.3,90,73,86,83,0.8,0.8,0.8,0.8,10,9,5,8,18,9
1011.8,1009.4,1007.8,1009.7,24.3,11.5,13.2,23.6,18,18.2,77,36,58,57,2.4,2.4,0.8,1.9,0,0,0,0,9,31
1007,1006.4,1006.8,1006.7,22.1,12.8,15.3,21.3,16.2,17.3,62,34,56,51,2.4,2.4,0.8,1.9,1,1,0,0.7,31,31
1007,1005,1002.8,1004.9,24.6,9,13.1,23.2,16.9,17.5,67,34,50,50,0.8,2.4,0.8,1.4,0,0,0,0,31,37
1001.8,999.9,999.2,1000.3,26.4,10.6,16.2,25.3,18,19.4,59,35,46,47,0,2.4,0.8,1.1,0,0,0,0,37,40
999.9,999.1,998.2,999.1,28.9,13.4,17.8,27.6,20.6,21.7,59,36,56,50,0.8,2.4,0.8,1.4,0,0,1,0.3,40,40
999.7,1000.1,1001.4,1000.4,27.5,15.1,16.8,26.9,20.5,21.2,72,46,61,60,2.4,2.4,0,1.6,5,6,4,5,40,32
