Pritisak07,Pritisak14,Pritisak21,PritisakSR,MaxTemp,MinTemp,Temp07,Temp14,Temp21,TempSR,Vlaz07,Vlaz14,Vlaz21,VlazSR,VetarBrzina07,VetarBrzina14,VetarBrzina21,VetarBrzinaSR,Oblacnost07,Oblacnost14,Oblacnost21,OblacnostSR,prethodni_dan,Value
994.7,993.6,994.2,994.2,29.4,21.6,22.3,27.2,23.9,24.3,76,55,65,65,2.4,4.4,2.4,3,8,4,9,7,75,59
993.7,992.2,993.7,993.2,25.8,19,19.5,25.2,21.2,21.8,81,65,85,77,2.4,2.4,0.8,1.9,10,5,5,6.7,59,47
993.9,992.7,993.3,993.3,26,18.4,20,24.7,21.4,21.9,83,68,88,80,0.8,2.4,2.4,1.9,9,9,10,9.3,47,66
994,993.2,993.9,993.7,29.7,18.9,21.1,29.2,25.1,25.1,82,50,60,64,0.8,2.4,0.8,1.4,4,5,2,3.7,66,60
995.3,994.7,995.7,995.2,29.8,18.8,20.8,29.4,24.4,24.8,83,52,73,69,0.8,2.4,0.8,1.4,3,5,3,3.7,60,56
996.2,995.3,996.5,996,28.6,20.2,21.4,24,20.2,21.5,86,92,95,91,2.4,0.8,0.8,1.4,5,7,10,7.3,56,59
995.6,994.8,996,995.5,29.3,18.6,19.9,28.2,24.2,24.1,89,58,74,74,0,2.4,0,0.8,9,4,3,5.3,59,53
997.4,995.8,996.4,996.5,30.9,20.3,21.1,29.9,25.2,25.4,85,58,77,73,2.4,2.4,0.8,1.9,5,6,6,5.7,53,59
996.5,996,997.4,996.6,31.9,21.6,23.6,31.4,26.1,26.8,83,53,65,67,0.8,2.4,0.8,1.4,0,4,5,3,59,60
997.7,997.3,998.1,997.7,31.6,21.4,22.8,31.4,27.2,27.2,83,47,62,64,0.8,2.4,0.8,1.4,1,5,4,3.3,60,66
1001.1,999.9,1000.4,1000.5,32.8,21.2,23.4,32.2,26.2,27,76,36,58,57,0.8,2.4,0.8,1.4,4,6,0,3.3,57,65
1001,1000.3,1000.4,1000.6,33.2,21.4,24.8,32.4,26.9,27.8,61,40,65,55,2.4,4.4,2.4,3,0,3,0,1,65,65
1001.8,1001.4,1002,1001.7,33.7,22.6,25.1,33.3,27,28.1,66,40,55,54,4.4,4.4,4.4,4.4,4,5,3,4,65,74
1003.5,1003.8,1004.8,1004,32.5,23.2,24.6,32,25.1,26.7,56,38,49,48,4.4,4.4,2.4,3.7,0,0,0,0,74,109
1004,1002.6,1003.5,1003.4,30.8,21.2,23.8,30.8,25.4,26.4,55,38,49,47,4.4,2.4,2.4,3,4,5,5,4.7,109,74
1004.2,1002.7,1001,1002.6,31.8,19.7,21.6,31,25.2,25.8,82,36,49,56,0.8,2.4,0.8,1.4,0,2,0,0.7,74,136
999.2,997.5,996.4,997.7,33,22,23.8,32.3,26.8,27.4,60,35,51,49,2.4,2.4,2.4,2.4,0,0,0,0,136,46
