Pritisak07,Pritisak14,Pritisak21,PritisakSR,MaxTemp,MinTemp,Temp07,Temp14,Temp21,TempSR,Vlaz07,Vlaz14,Vlaz21,VlazSR,VetarBrzina07,VetarBrzina14,VetarBrzina21,VetarBrzinaSR,Oblacnost07,Oblacnost14,Oblacnost21,OblacnostSR,prethodni_dan,Value
1005.4,1003.8,1004.1,1004.4,21,11.3,13.4,19.6,16.9,16.7,74,45,58,59,2.4,2.4,0.8,1.9,3,6,6,5,11,13
1003.7,1002.6,1002.2,1002.8,22.3,11.7,14.8,20.6,17.8,17.8,70,46,59,58,0.8,0.8,0,0.6,0,5,3,2.7,13,17
1002.3,1001.4,1002.3,1002,24.3,11.9,15.8,23,20.1,19.8,73,41,55,56,0.8,2.4,0.8,1.4,1,5,5,3.7,17,24
1002.2,1001,1000.1,1001.1,23.9,15,15.9,21.9,19.5,19.2,83,63,66,71,0.8,0.8,2.4,1.4,10,8,9,9,24,18
997.9,994.6,994.2,995.6,19.9,15.5,15.8,18.8,15.8,16.6,92,82,91,88,2.4,2.4,2.4,2.4,10,10,10,10,18,25
992.3,992.1,991.6,992,23.3,15.7,16.6,21.2,18.3,18.6,92,75,91,86,0.8,0.8,2.4,1.4,10,7,10,9,25,13
989,988.1,990,989,22.7,17,17.7,21,19.2,19.3,95,95,95,95,2.4,2.4,2.4,2.4,10,9,10,9.7,13,23
991.2,991.2,995.5,992.6,27.8,17.3,19.4,27,19.7,21.5,93,51,44,63,0.8,2.4,2.4,1.9,9,4,0,4.3,23,14
1000.5,999.9,1001.6,1000.7,23.6,11.9,15.2,22.6,19.3,19.1,69,48,62,60,0.8,2.4,0.8,1.4,0,4,4,2.7,14,15
1002.9,1001.3,999.6,1001.3,25.4,12.7,17.6,24.2,21.2,21.1,57,37,54,49,0.8,0.8,2.4,1.4,2,3,4,3,15,24
1001.1,1000.6,1000.7,1000.8,27.9,18.1,20.1,26.7,23.2,23.3,62,42,55,53,0.8,2.4,0.8,1.4,6,6,0,4,24,27
1000.2,999.6,999.7,999.8,28.6,19.3,23.8,28,23.4,24.7,53,37,74,55,0.8,0.8,0.8,0.8,4,7,7,6,27,39
1000.3,998,996.3,998.2,28.9,20,20.6,27.8,23.6,23.9,83,44,60,62,0.8,0.8,0.8,0.8,9,5,0,4.7,39,37
995.8,995.6,996.7,996,29.9,20.6,23.6,28.8,24.2,25.2,61,47,68,59,0.8,0.8,2.4,1.4,2,8,9,6.3,37,20
998.2,998,998.8,998.3,24.6,18.5,19.4,21,20.1,20.2,96,85,89,90,0.8,0.8,0.8,0.8,10,10,9,9.7,20,19
998.9,997.7,999.5,998.7,26.3,17.5,18.2,26.2,18,20.1,95,54,87,79,0.8,2.4,0.8,1.4,10,6,10,8.7,19,16
998.7,998.5,998.8,998.7,20,16.5,17,17.5,17.1,17.2,90,94,93,92,2.4,0.8,0.8,1.4,10,10,5,8.3,16,19
998.3,997.1,997.6,997.7,25.8,16.8,18.2,25.2,20.6,21.2,92,63,86,80,0.8,0.8,0.8,0.8,10,6,4,6.7,19,25
997.7,996.9,998.2,997.6,29.3,18,21.9,28.6,25,25.1,79,50,69,66,0.8,2.4,0.8,1.4,0,4,9,4.3,25,25
1001,1000.6,1000.7,1000.8,27.2,20,20.2,26,23.8,23.5,87,65,76,76,0.8,0.8,2.4,1.4,9,6,5,6.7,25,24
1001.3,1001,1001.3,1001.2,28.5,20.8,21.6,27.8,23.6,24.2,83,50,61,65,0.8,2.4,0.8,1.4,6,4,4,4.7,24,19
1002.3,1000.7,1000,1001,29.5,18.6,20.9,28.8,23.8,24.3,80,41,65,62,2.4,2.4,0.8,1.9,0,3,0,1,19,23
999.5,998.6,997.9,998.7,28.8,18.9,21.8,25.8,21.8,22.8,72,50,77,66,2.4,2.4,0.8,1.9,3,9,2,4.7,23,19
998.3,996.5,994.5,996.4,30,18.5,21.3,29,24,24.6,70,34,58,54,2.4,0.8,0.8,1.4,0,1,3,1.3,19,26
993.7,993.9,994.2,993.9,25.5,19.6,19.8,21.8,21.7,21.3,92,82,73,82,2.4,0.8,2.4,1.9,10,10,4,8,26,23
994.2,993.9,994.1,994.1,25.6,18.5,19.6,24,23.6,22.7,78,58,48,61,2.4,2.4,2.4,2.4,10,10,9,9.7,23,18
994.9,996,996.9,995.9,24.6,17.8,18.6,23.8,22.6,21.9,89,67,77,78,0.8,2.4,0.8,1.4,10,10,7,9,18,22
997.5,997,997,997.2,30.1,18.6,20.8,28.9,23.8,24.3,77,37,61,58,0.8,2.4,0.8,1.4,1,1,0,0.7,22,30
997.5,996.7,995.2,996.5,32.2,18.6,23,31.6,26.4,26.9,66,40,58,55,0.8,0.8,0.8,0.8,0,0,5,1.7,30,22
994.7,993.6,994.2,994.2,29.4,21.6,22.3,27.2,23.9,24.3,76,55,65,65,2.4,4.4,2.4,3,8,4,9,7,22,13
993.7,992.2,993.7,993.2,25.8,19,19.5,25.2,21.2,21.8,81,65,85,77,2.4,2.4,0.8,1.9,10,5,5,6.7,13,22
