Pritisak07,Pritisak14,Pritisak21,PritisakSR,MaxTemp,MinTemp,Temp07,Temp14,Temp21,TempSR,Vlaz07,Vlaz14,Vlaz21,VlazSR,VetarBrzina07,VetarBrzina14,VetarBrzina21,VetarBrzinaSR,Oblacnost07,Oblacnost14,Oblacnost21,OblacnostSR,prethodni_dan,Value
998.3,996.5,994.5,996.4,30,18.5,21.3,29,24,24.6,70,34,58,54,2.4,0.8,0.8,1.4,0,1,3,1.3,11,12
993.7,993.9,994.2,993.9,25.5,19.6,19.8,21.8,21.7,21.3,92,82,73,82,2.4,0.8,2.4,1.9,10,10,4,8,12,11
994.2,993.9,994.1,994.1,25.6,18.5,19.6,24,23.6,22.7,78,58,48,61,2.4,2.4,2.4,2.4,10,10,9,9.7,11,11
994.9,996,996.9,995.9,24.6,17.8,18.6,23.8,22.6,21.9,89,67,77,78,0.8,2.4,0.8,1.4,10,10,7,9,11,10
997.5,997,997,997.2,30.1,18.6,20.8,28.9,23.8,24.3,77,37,61,58,0.8,2.4,0.8,1.4,1,1,0,0.7,10,17
997.5,996.7,995.2,996.5,32.2,18.6,23,31.6,26.4,26.9,66,40,58,55,0.8,0.8,0.8,0.8,0,0,5,1.7,17,13
994.7,993.6,994.2,994.2,29.4,21.6,22.3,27.2,23.9,24.3,76,55,65,65,2.4,4.4,2.4,3,8,4,9,7,13,11
993.7,992.2,993.7,993.2,25.8,19,19.5,25.2,21.2,21.8,81,65,85,77,2.4,2.4,0.8,1.9,10,5,5,6.7,11,11
993.9,992.7,993.3,993.3,26,18.4,20,24.7,21.4,21.9,83,68,88,80,0.8,2.4,2.4,1.9,9,9,10,9.3,11,11
994,993.2,993.9,993.7,29.7,18.9,21.1,29.2,25.1,25.1,82,50,60,64,0.8,2.4,0.8,1.4,4,5,2,3.7,11,11
995.3,994.7,995.7,995.2,29.8,18.8,20.8,29.4,24.4,24.8,83,52,73,69,0.8,2.4,0.8,1.4,3,5,3,3.7,11,11
996.2,995.3,996.5,996,28.6,20.2,21.4,24,20.2,21.5,86,92,95,91,2.4,0.8,0.8,1.4,5,7,10,7.3,11,12
995.6,994.8,996,995.5,29.3,18.6,19.9,28.2,24.2,24.1,89,58,74,74,0,2.4,0,0.8,9,4,3,5.3,12,11
997.4,995.8,996.4,996.5,30.9,20.3,21.1,29.9,25.2,25.4,85,58,77,73,2.4,2.4,0.8,1.9,5,6,6,5.7,11,9
996.5,996,997.4,996.6,31.9,21.6,23.6,31.4,26.1,26.8,83,53,65,67,0.8,2.4,0.8,1.4,0,4,5,3,9,5
997.7,997.3,998.1,997.7,31.6,21.4,22.8,31.4,27.2,27.2,83,47,62,64,0.8,2.4,0.8,1.4,1,5,4,3.3,5,6
999.2,999.5,1000.6,999.8,29,22.4,24.7,23.4,23,23.5,73,87,85,82,0.8,0.8,2.4,1.4,5,9,7,7,6,5
1001.4,1000.9,1001.3,1001.2,28.9,21.9,23.1,27.6,25.4,25.4,83,65,76,75,2.4,2.4,0.8,1.9,6,6,6,6,5,6
1002.1,1000.8,1001.3,1001.4,30.3,21.3,22.4,29.4,25.8,25.9,88,57,70,72,0.8,0.8,2.4,1.4,5,5,5,5,6,5
