,Date,Pritisak07,Pritisak14,Pritisak21,PritisakSR,MaxTemp,MinTemp,AMP_Temp,Column9_x,Temp07,Temp14,Temp21,TempSR,Vlaz07,Vlaz14,Vlaz21,VlazSR,Napon07,Napon14,Napon21,NaponSR,wind1,VetarBrzina07,wind2,VetarBrzina14,wind3,VetarBrzina21,VetarBrzinaSR,Oblacnost07,Oblacnost14,Oblacnost21,OblacnostSR,prethodni_dan,Value
1,2017-01-02,"1004,3","1002,2","1001,8","1002,8","8,2","-4,2","12,4","-9,0","-3,9","7,5","3,8","2,8",74,32,45,50,"3,4","3,3","3,6","3,4",E,"0,8",WNW,"0,8",SW,"0,8","0,8",0,1,10,"3,7",17.0,17.0
2,2017-01-03,"1005,5","1007,5","1007,8","1006,9","5,9","-1,0","6,9","-0,6","-0,6","0,9","-1,0","-0,4",93,84,92,90,"5,4","5,5","5,2","5,4",NNW,"2,4",WNW,"2,4",W,"0,8","1,9",10,10,0,"6,7",17.0,7.0
3,2017-01-04,"1000,1","993,9","993,6","995,9","2,4","-4,7","7,1","-12,0","-3,6","0,8","0,2","-0,6",90,77,88,85,"4,2","5,0","5,4","4,9",WSW,"2,4",W,"0,8",ENE,"2,4","1,9",0,6,10,"5,3",7.0,2.0
4,2017-01-05,"993,6","995,3","998,4","995,8","1,3","-1,2","2,5","-1,5","0,2","0,7","-1,2","-0,4",91,79,74,81,"5,6","5,1","4,1","4,9",WSW,"2,4",NNW,"2,4",N,"4,4","3,0",9,10,6,"8,3",2.0,4.0
5,2017-01-06,"1005,2","1008,0","1011,1","1008,1","-1,2","-9,3","8,1","-7,1","-6,9","-7,1","-9,3","-8,2",63,53,56,57,"2,3","1,9","1,7","2,0",N,"4,4",N,"6,7",NNW,"4,4","5,1",9,10,0,"6,3",4.0,4.0
6,2017-01-07,"1012,0","1012,2","1012,3","1012,2","-8,9","-12,2","3,3","-13,5","-12,0","-9,8","-12,1","-11,5",51,46,63,53,"1,2","1,3","1,5","1,3",NNW,"4,4",NNW,"4,4",W,"2,4","3,7",0,4,0,"1,3",4.0,1.0
7,2017-01-08,"1009,7","1008,6","1007,4","1008,6","-7,1","-14,6","7,5","-16,1","-14,6","-8,0","-10,0","-10,7",64,47,79,63,"1,3","1,6","2,3","1,7",WSW,"2,4",W,"2,4",W,"4,4","3,0",1,4,0,"1,7",1.0,1.0
8,2017-01-09,"1005,3","1005,6","1008,4","1006,4","-7,0","-10,2","3,2","-12,6","-9,8","-7,3","-8,9","-8,7",85,83,84,84,"2,5","2,9","2,6","2,7",W,"4,4",NW,"2,4",SSE,"2,4","3,0",10,10,6,"8,7",1.0,1.0
9,2017-01-10,"1006,7","1003,8","1003,8","1004,8","-7,9","-13,1","5,2","-18,4","-12,0","-8,6","-8,7","-9,5",79,81,87,82,"1,9","2,6","2,7","2,4",ESE,"0,8",NNE,"2,4",NE,"4,4","2,5",0,10,10,"6,7",1.0,2.0
10,2017-01-12,"998,6","1002,8","1002,1","1001,2","1,4","-11,0","12,4","-9,6","-8,6","0,5","-0,6","-2,3",82,52,82,72,"2,6","3,3","4,8","3,6",C,"0,0",W,"2,4",NNW,"0,8","1,1",9,9,0,"6,0",2.0,4.0
11,2017-01-13,"991,8","985,4","978,5","985,2","6,8","-2,2","9,0","-9,4","3,0","5,8","6,8","5,6",66,62,54,61,"5,0","5,8","5,4","5,4",SE,"4,4",SSE,"6,7",SSE,"9,4","6,8",7,10,10,"9,0",4.0,6.0
12,2017-01-14,"989,1","992,9","995,8","992,6","7,1","-0,2","7,3","0,4","0,8","2,2","-0,2","0,7",91,81,82,85,"5,9","5,8","4,9","5,5",WNW,"4,4",W,"2,4",W,"0,8","2,5",10,10,4,"8,0",6.0,11.0
13,2017-01-15,"1000,8","1003,3","1004,9","1003,0","4,5","-2,3","6,8","-5,7","-2,2","3,6","-1,2","-0,3",86,60,85,77,"4,5","4,7","4,7","4,6",WSW,"0,8",NW,"0,8",NE,"0,8","0,8",0,4,0,"1,3",11.0,12.0
14,2017-01-16,"1002,2","1000,7","1001,3","1001,4","1,6","-4,1","5,7","-7,7","-2,8","1,3","0,7","0,0",89,59,85,78,"4,4","4,0","5,5","4,6",NE,"0,8",E,"2,4",E,"4,4","2,5",4,8,7,"6,3",12.0,5.0
15,2017-01-17,"1003,4","1006,4","1010,0","1006,6","1,3","-0,1","1,4","0,2","1,0","0,1","-0,1","0,2",75,84,89,83,"4,9","5,2","5,4","5,2",ESE,"2,4",ESE,"4,4",ENE,"2,4","3,0",7,10,10,"9,0",5.0,5.0
16,2017-01-18,"1012,5","1013,7","1016,1","1014,1","0,8","-1,6","2,4","-1,0","-0,3","-0,6","-0,3","-0,4",75,93,56,75,"4,5","5,4","3,4","4,4",ESE,"2,4",E,"4,4",ESE,"6,7","4,5",10,10,10,"10,0",5.0,5.0
17,2017-01-19,"1017,3","1019,0","1021,0","1019,1","-0,3","-2,1","1,8","-2,6","-2,0","-0,9","-1,6","-1,5",64,51,65,60,"3,4","2,9","3,5","3,3",ESE,"6,7",SE,"4,4",ESE,"6,7","5,9",10,10,8,"9,3",5.0,13.0
18,2017-01-20,"1021,4","1020,6","1020,5","1020,8","-0,2","-6,5","6,3","-11,8","-5,7","-0,6","-4,8","-4,0",83,54,85,74,"3,3","3,1","3,6","3,3",ESE,"0,8",NE,"2,4",NNW,"0,8","1,4",0,0,0,"0,0",13.0,19.0
19,2017-01-21,"1019,3","1018,2","1018,6","1018,7","-2,0","-10,4","8,4","-15,5","-10,2","-2,5","-4,4","-5,4",88,69,83,80,"2,5","3,5","3,7","3,2",C,"0,0",NW,"2,4",NNW,"2,4","1,6",0,0,6,"2,0",19.0,15.0
20,2017-01-22,"1019,2","1018,0","1016,8","1018,0","-2,0","-6,7","4,7","-10,7","-6,0","-3,2","-4,3","-4,5",90,83,85,86,"3,5","4,0","3,8","3,8",NNW,"2,4",SSE,"2,4",SE,"2,4","2,4",8,8,0,"5,3",15.0,15.0
21,2017-01-23,"1014,7","1011,3","1010,0","1012,0","-3,9","-9,3","5,4","-11,8","-8,9","-4,2","-6,9","-6,7",92,83,91,89,"2,9","3,7","3,3","3,3",SSW,"0,8",W,"0,8",NW,"0,8","0,8",10,4,10,"8,0",15.0,11.0
22,2017-01-24,"1007,8","1008,3","1010,7","1008,9","-5,3","-7,3","2,0","-6,6","-7,1","-5,6","-5,4","-5,9",91,92,90,91,"3,3","3,7","3,7","3,6",NW,"0,8",WNW,"2,4",WNW,"2,4","1,9",10,10,10,"10,0",11.0,9.0
23,2017-01-25,"1012,8","1013,2","1014,6","1013,5","-2,9","-5,4","2,5","-5,1","-4,8","-3,1","-3,2","-3,6",93,91,93,92,"4,0","4,4","4,5","4,3",WNW,"2,4",NNW,"0,8",NW,"0,8","1,4",10,10,10,"10,0",9.0,9.0
